类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
Go 语言, Go语言精进之路：从新手到高手的编程思想、方法和技巧 1任选 ,2022-01-01,机械工业出版社,¥65.00,¥99.00,6.57折 ,,https://img3m4.ddimg.cn/35/14/11303616194-1_b_1.jpg
Go 语言, GO语言实战【售后无忧】 ,2019-03-01,机械工业出版社,¥75.29,¥151.58,4.97折 ,内含70个技术案例内容实用，起点较低、上手容易,https://img3m0.ddimg.cn/29/0/11244881270-1_b_1.jpg
Go 语言, Go语言从入门到进阶实战 谢琼 9787115520760 人民邮电出版社 实用技术 多媒体课件 源代码视频等配套资源丰 ,2021-02-01,人民邮电出版社,¥84.32,¥84.32,10折,,https://img3m1.ddimg.cn/67/30/11340091291-1_b_1.jpg
Go 语言, Go语言高级开发与实战 机械工业出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,2022-01-01,机械工业出版社,¥78.50,¥119.00,6.6折 ,Go语言高级开发与实战聚焦Go语言的高级开发技巧和应用实战。高级进阶、重点解析Go语言高级开发知识；源码再用，随书源码可直接二次开发进行实战部署。作者廖显东，高级软件架构师，全栈开发者，技术极客，Gopher，开源爱好者。对Go、Rust等流行开发语言有深入实践和研究。对大型电子商务系统开发、高并发架构、分布式架构、微服务、大数据、人工智能算法等领域有深入实践和研究。建议采用以线上销售为主、线上线下相结合的营销方式推广。,https://img3m0.ddimg.cn/13/18/11217184420-1_b_2.jpg
Go 语言, 【可开发票，量大优惠】Go语言学习笔记 9787121291609 部分书籍卖价高于定价，介者慎拍 亲爱的顾客，本店谢绝恶意差评，有问题及时联系客服，赠品随机可开发票,2016-07-01,不详,¥84.72,¥89.00,9.52折 ,,https://img3m4.ddimg.cn/24/26/11444648514-1_b_1.jpg
Go 语言, Go语言设计与实现 go语言实战Go语言核心编程零基础入门web开发计算机网络编程开发入门程序设计电脑教程 ,2021-11-01,人民邮电出版社,¥121.00,¥140.00,8.65折 ,,https://img3m0.ddimg.cn/13/23/11331599710-1_b_2.jpg
Go 语言, Go语言·云动力 (新加坡)樊虹剑 人民邮电出版社 【正版书籍，达额立减】 ,2012-06-01,人民邮电出版社,¥27.45,¥39.00,7.04折 ,,https://img3m1.ddimg.cn/88/13/11412918781-1_b_1.jpg
Go 语言, Go语言高级开发与实战 进阶 重点解析Go语言 开发知识 源码再用 随书源码可直接二次开发进行实战部 ,2022-01-01,机械工业,¥83.89,¥119.00,7.05折 ,,https://img3m4.ddimg.cn/57/27/11068840884-1_b_1.jpg
Go 语言, Go语言项目开发上手指南 ,2021-07-01,机械工业,¥83.28,¥119.00,7折 ,,https://img3m5.ddimg.cn/86/13/11043776885-1_b_1.jpg
Go 语言, GO语言机器学习实战 助力GO语言全面应用 go Go语言 机器学习 人工智能 贝叶斯 分类器 聚类 神经网络 卷积 人 正品保证 七天无理由退货让亲亲购物无忧【开发票请联系在线客服】,,机械工业出版社,¥54.75,¥79.00,6.94折 ,,https://img3m9.ddimg.cn/83/3/11327334959-1_b_1.jpg
