类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
python, 数据视觉艺术—从Excel数据可视化到Python数据可视化指南 Python精益数据分析 大话数据结构 大数据 数据荒 本书对比Excel数据可视化来学习编码，实现Python数据可视化，通过丰富实战案例，全面、系统地讲解从数据获取到最后的可视化呈现的内容，真正帮助读者打开数据之门。,2022-09-01,水利水电出版社,¥44.00,¥88.00,5折 ,本书构建了全新的 对比 学习方式，用Excel的 亲和力 对比Python的 强功能 ，Excel数据分析及可视化 为有代码恐惧症的读者介绍一种方式和工具 Python数据分析及可视化 本书重点，介绍更多Python数据知识和技术。对比学习很轻松，使读者结合熟悉的Excel来理解知识，并试着用Python解决复杂问题。是一本优秀的数据分析类书籍。,https://img3m8.ddimg.cn/72/8/29460888-1_b_2.jpg
python, Python编程从数据分析到机器学习实践（微课视频版）利用python进行数据分析 精益数据分析 深入浅出数据分析 py 手机扫码看608分钟同步视频讲解+全书源代码+PPT课件+习题实验，Python3.7编程进阶图书，人工智能、机器学习、数据处理、科学计算、云开发、网络爬虫,2020-02-01,水利水电出版社,¥49.90,¥99.80,5折 ,"机器语言众多，为什么学Python? Python是人工智能和机器学习的*编程语言: 1. 拥有众多出色的第三方库，与操作系统完美集成。 2. 提供社区支持，增加了其在数据科学和科学计算中的应用。 3. 是一门理想的集成语言、 胶水 语言,将各种技术绑定在一起。 4. 代码简洁，容易阅读和学习,准入门槛低。 5. 是高级的脚本语言，更适合AI和机器学习。 6. 是功能强大的解释型编程语言，高效率的高层数据结构，能够简单而有效地实现面向对象编程。 7. 良好的可视化选项，提供了一些很好的可视化工具。 8. *重要和*受欢迎的直接原因是，其Numpy和Scipy库能够支持Scikit-Learn这样的项目，这几乎是目前解决机器学习问题所需的标准配置。 《Python编程从数据分析到机器学习实践（微课视频版）》是继《Python编程从零基础到项目实战（微课视频版）》之后的Python编程进阶图书，主要",https://img3m8.ddimg.cn/8/13/28517948-1_b_9.jpg
python, Pandas入门与实战应用 ：基于Python的数据分析与处理 ,2022-08-01,电子工业出版社,¥66.70,¥89.00,7.5折 ,实用性：着眼于Pandas 实战应用，探讨深层次的技巧问题。 详尽的实例：每一章都附有大量的实例，通过实例介绍知识点。 全面性：涵盖了Pandas 应用的所有知识，以及实战应用中的关键问题。 实用性：在内容表现上，采用大量的图表，使整本书的风格生动、形象。,https://img3m6.ddimg.cn/82/21/29458126-1_b_1.jpg
python, Python深度学习（第2版） 流行深度学习框架Keras之父执笔，涵盖Transformer架构等进展，文字生，简单方式解释复杂概念，不用一个数学公式，利用直觉自然入门深度学习,2022-08-01,人民邮电出版社,¥97.30,¥129.80,7.5折 ,近年来，深度学习在自然语言处理、计算机视觉等领域取得了非凡的进展。从机器翻译和文本生成到自动驾驶和虚拟助手，我们受益于深度学习技术的逐渐普及。然而，深度学习还远未发挥全部潜力。欢迎来到深度学习的世界！在这个规模呈爆发式增长的领域，仍有许多“宝藏”等待你去发掘。 本书由流行深度学习框架Keras之父弗朗索瓦·肖莱执笔，不用数学公式，而用Python代码帮助你直观理解深度学习的核心思想。本书在第1版的基础上进行了大幅更新和增补，以体现深度学习领域的快速发展。 - Keras和TensorFlow入门：详解实践深度学习所需的全部知识 - 神经网络入门：分类与回归 - 计算机视觉、时间序列预测、生成式深度学习 - 新增Transformer架构的原理及用法 - 新增机器学习的工作流程 - 随书提供Jupyter notebook，采用TensorFlow 2.6,https://img3m9.ddimg.cn/75/14/29458119-1_b_5.jpg
python, ROS 2机器人编程实战：基于现代C++和Python 3 从设计思想到应用技巧，从基础概念到工程实战，一线机器人工程师带你玩转ROS 2,2023-02-11,机械工业出版社,¥89.20,¥119.00,7.5折 ,《ROS 2机器人编程实战：基于现代C++和Python 3》融合了一线机器人工程师多年工作经验，精心选取的大量实例项目，手把手带领读者玩转ROS 2。循序渐进、由浅入深，书中配有二维码视频，使读者身临其境，迅速、深入地掌握各种经验和技巧。,https://img3m8.ddimg.cn/74/29/29484848-1_b_7.jpg
python, [北京发货] 流畅的Python PSF研究员 PyCon演讲者之作 全面深入 ,2017-05-01,人民邮电出版社,¥70.50,¥139.00,5.08折 ,附有主题相关高质量参考文献和视频链接//兼顾Python 3和Python 2,https://img3m7.ddimg.cn/35/23/1230039197-1_b_4.jpg
python, 青少年Python编程入门 中小学SETM创新教育图书 Python自学入门 官方正版 出版社直发,2019-06-01,人民邮电出版社,¥22.50,¥45.00,5折 ,青少年Python编程入门青少年Python编程入门青少年Python编程入门青少年Python编程入门,https://img3m4.ddimg.cn/55/29/1410749164-1_b_2.jpg
python, Python密码学编程 第2版 ,2020-04-01,人民邮电出版社,¥44.50,¥89.00,5折 ,Python编程实现加密算法的初学者指南,https://img3m5.ddimg.cn/18/5/1587415815-1_b_3.jpg
python, Python函数参考手册（全彩版） 专注Python内置函数，适合所有python学习者的速查工具书，参数说明详尽，易查，函数功能全，易学；351个快学快用，易用！开拓思维，解决问题，提升开发效率,2020-04-01,吉林大学出版社,¥34.50,¥69.00,5折 ,专注Python内置函数，适合所有python学习者的速查工具书，参数说明详尽，易查，函数功能全，易学；351个快学快用，易用！开拓思维，解决问题，提升开发效率,https://img3m2.ddimg.cn/4/0/28980472-1_b_27.jpg
python, Selenium自动化测试完全指南 基于Python 基于Selenium 3 和 Selenium 4 Beta版本，系统讲述如何通过Selenium WebDriver、Selenium Grid、Appium等测试工具，组织测试，优化测试,2021-05-01,人民邮电出版社,¥74.20,¥99.00,7.5折 ,1.基于Selenium 3 和 Selenium 4 Beta版本，系统讲述如何通过Selenium WebDriver、Selenium Grid、Appium等测试工具，组织测试，优化测试的模式，进而成功进行自动化测试 2.在Web功能测试领域，Selenium是非常强大的工具。本书不仅会详述Selenium系列工具的功能，还将探讨自动测试的核心问题，讲述如何更好地在实际项目中实施自动化测试，如何真正让自动化测试取得成效。 本书主要内容： Selenium IDE的用法； Selenium WebDriver的用法； Selenium Grid的用法； Appium的用法； 实现和优化性能测试的方法； 实现和优化功能能测试的方法； 使用Jenkins进行持续集成的方法； 选择自动化测试实施方式的思路。,https://img3m1.ddimg.cn/70/10/29238631-1_b_9.jpg
